page_id,title,space_key,version_number,labels,excerpt
3514204194,V1.1.0 (7th May 2025),KNOCCS,1,,"<h1>Updates:</h1><p>This release includes key configuration changes and integration updates to support future scalability and improved authentication workflows.</p><p /><ul><li><p><strong>Azure App Registration:</strong><br />A new application has been successfully registered in the Azure Portal as part of our cloud integration efforts.</p></li><li><p><strong>Microsoft App Verification:</strong><br />Our new app, <strong>Knoccs</strong>, has been successfully verified with Microsoft, ensuring co"
3459711025,Administration,GK,2,,"<ac:layout><ac:layout-section ac:type=""fixed-width"" ac:breakout-mode=""default""><ac:layout-cell><h1><strong><span style=""color: rgb(7,71,166);"">DEPARTMENT OVERVIEW:</span></strong></h1></ac:layout-cell></ac:layout-section><ac:layout-section ac:type=""two_right_sidebar"" ac:breakout-mode=""default""><ac:layout-cell><p>Welcome to the Admin Department Hub! Your dedicated platform to access all the policies and updates shaped by our team. If you need further clarification, feel free to contact us anytime"
3454107659,Knoccs - Dev Team Documents,KNOCCS,2,,"<p> </p><ac:structured-macro ac:name=""attachments"" ac:schema-version=""1"" data-layout=""wide"" ac:local-id=""9ac419ab-51c6-48a8-8e95-6ee07e4e1d4d"" ac:macro-id=""5bb0fff80c8e936bd8382c37a52e4b190f390adade581bf306cf283d1ff53c58"" /><p />"
3453714487,Knoccs - Dev Team Document,KNOCCS,1,,"<ac:structured-macro ac:name=""attachments"" ac:schema-version=""1"" data-layout=""wide"" ac:local-id=""e5443e49-2286-4651-81c1-7ac4c055299b"" ac:macro-id=""7d50a9df-9d57-48d6-9dad-f9b37047b711"" /><p class=""media-group""><ac:structured-macro ac:name=""view-file"" ac:schema-version=""1"" ac:macro-id=""aba15cd7-aec1-4e1b-9846-56696d6038e7""><ac:parameter ac:name=""name""><ri:attachment ri:filename=""RFC For NgRx.docx"" ri:version-at-save=""1"" /></ac:parameter></ac:structured-macro></p><p />"
3279224843,2025 - SpurSol Engineering objectives,~712020f64cb4659b5140879950faf98245c696,11,,"<p>This is a list of key Engineering objectives for SpurSol Teams (Value Link, Knoccs, Xoopah):</p><ol start=""1""><li><p><strong>Innovation-focused development:</strong> AI, ML, and GenAI-based use-cases and value additions across SpurSol products.</p></li><li><p><strong>Improving and enhancing product and release quality</strong></p><ol start=""1""><li><p>Unit-testing and TDD (for Software Engineers)</p></li><li><p>Test Automation (for SQA Engineers)</p></li><li><p>Code Quality metrics as measured"
3256451142,Hackathon - Time Zone Task,KNOCCS,2,,"<ac:structured-macro ac:name=""toc"" ac:schema-version=""1"" data-layout=""default"" ac:local-id=""3538ceb0-cc86-46dd-8118-246b82d54332"" ac:macro-id=""e76f92c3-6d90-4e8e-a9ed-b2023be28aac""><ac:parameter ac:name=""minLevel"">1</ac:parameter><ac:parameter ac:name=""maxLevel"">6</ac:parameter><ac:parameter ac:name=""outline"">false</ac:parameter><ac:parameter ac:name=""style"">none</ac:parameter><ac:parameter ac:name=""type"">list</ac:parameter><ac:parameter ac:name=""printable"">true</ac:parameter></ac:structured-mac"
3245899778,Article 1: What's KNOCCS?,GK,4,,"<h1><strong><span style=""color: rgb(64,50,148);"">KNOCCS Product Overview:</span></strong></h1><h2><strong>Product Statement:</strong></h2><p>How to build an army of delighted customers, who become customers for life? The challenge is even more acute for businesses providing products and services to other businesses.</p><p>Serving customers is a critical component to the success of any business, but doing it effectively is a challenge. Customers today have multiple touch points with different peo"
3245834256,Article 5: Team Structure to Implement Product Led Approach,GK,5,,"<h1><strong>What is Product Led Approach?</strong></h1><p>A product-led approach prioritizes the product as the primary driver of customer acquisition, retention, and growth. This strategy focuses on delivering exceptional value through the product itself, allowing customers to experience its benefits firsthand. By leveraging user feedback, data, and research, product-led organizations continually refine their offerings to meet customer needs. The goal is to create intuitive, self-service experi"
3245670425,Article 3: KNOCCS As It's Today!,GK,4,,"<ac:layout><ac:layout-section ac:type=""fixed-width"" ac:breakout-mode=""default""><ac:layout-cell><h2 style=""text-align: center;""><strong>THE TIMELINE<span style=""color: rgb(101,84,192);""> </span></strong></h2><ac:image ac:align=""center"" ac:layout=""center"" ac:original-height=""344"" ac:original-width=""1180"" ac:custom-width=""true"" ac:alt=""image-20241106-063714.png"" ac:width=""1366""><ri:attachment ri:filename=""image-20241106-063714.png"" ri:version-at-save=""1"" /></ac:image><h2><strong>KNOCCS As it is tod"
3245670403,Article 2: Real Life Setbacks of Customer Support,GK,4,,"<ac:layout><ac:layout-section ac:type=""two_equal"" ac:breakout-mode=""default""><ac:layout-cell><ac:structured-macro ac:name=""panel"" ac:schema-version=""1"" ac:macro-id=""d3859986-f349-40ae-933c-17602774c026""><ac:parameter ac:name=""bgColor"">#EAE6FF</ac:parameter><ac:rich-text-body><h2><em><strong><span style=""color: rgb(64,50,148);"">Right Information in front of the right person:</span></strong></em></h2><p>&quot;Sales and success teams have more visibility on the customers onboarding journey, but tha"
3245637635,KNOCCS,GK,4,,"<h1 style=""text-align: center;""><em><strong><span style=""color: rgb(101,84,192);"">Teams delighting customers - for life&rdquo;</span></strong></em></h1><ac:structured-macro ac:name=""panel"" ac:schema-version=""1"" ac:macro-id=""6e6356a5-8295-420a-8657-323cba9bfb45""><ac:parameter ac:name=""panelIcon"">:scroll:</ac:parameter><ac:parameter ac:name=""panelIconId"">1f4dc</ac:parameter><ac:parameter ac:name=""panelIconText"">📜</ac:parameter><ac:parameter ac:name=""bgColor"">#FFFAE6</ac:parameter><ac:rich-text-bod"
3245572156,Article 4: Problem Area Identification Research,GK,5,,"<h2><strong>Introduction:</strong></h2><p>KNOCCS embodies a product-led approach, emphasizing the importance of research-driven decisions. Every step or initiative taken by the team is backed by thorough research and data analysis to ensure alignment with customer needs and market demands. By gathering valuable insights through detailed studies, KNOCCS ensures their solutions are both innovative and grounded in real-world requirements, allowing them to build product that truly resonate with thei"
3213688836,TABLE OF CONTENT,GK,10,,"<table data-table-width=""1800"" data-layout=""align-start"" ac:local-id=""4817effb-8899-4879-bd27-90d574eb3350""><colgroup><col style=""width: 360.0px;"" /><col style=""width: 391.0px;"" /><col style=""width: 361.0px;"" /><col style=""width: 325.0px;"" /><col style=""width: 360.0px;"" /></colgroup><tbody><tr><th data-highlight-colour=""#deebff""><p style=""text-align: center;""><strong><span style=""color: rgb(7,71,166);"">SPURSOL </span></strong></p></th><th data-highlight-colour=""#b3d4ff""><p style=""text-align: cen"
3204415496,23-10-2024 | Weekly Discussion,ML,1,,"<p>how do we get the customer to use thisproduct<br />now wear product hat </p><ul><li><p>last time we think </p></li><li><p>accuracy of general response more, kb more accurate and tickets incorporated </p></li></ul><p>how do you test for the fact k support is using </p><ul><li><p>if server is down the support should be screaming where it is we wnat it -AIMM</p></li></ul><p>WHAT MORE CAN BE THERE to increase support usage? </p><ul><li><p>which ones are in reach &quot;- accuracy of general respon"
3189997579,SPURSOL'S KNOWLEDGE BASE:,GK,25,,"<ac:layout><ac:layout-section ac:type=""two_right_sidebar"" ac:breakout-mode=""full-width""><ac:layout-cell><h2><strong><span style=""color: rgb(76,154,255);"">Our Philosophy: THE GOLDEN CIRCLE</span></strong></h2><p>Spursol promotes the theory of Golden Circle to encourage employees to understand the importance of <strong>&ldquo;WHY&rdquo;</strong> in our organization and in their lives. <br />The following video will help you to understand the concept of Golden Circle.</p><a href=""https://youtu.be/q"
